STIG    OK-Meso     8737  5465  38  24.6   0.8   0.9  38   4.5   0.9    1.2   18    6
ALV2    OK-Meso     8738  5490  39  24.6   1.6   1.9  39   6.4   0.9    1.7   30   15
BNTC1   RAWS        8739  6012  39  21.4  -0.8   2.0  39   3.0  -0.9    2.5   18   -9
CDHT2   RAWS        8740  6041  39  27.4   0.2   1.1  39   3.0  -0.9    1.3   18   -3
GWRT2   RAWS        8741  6152  39  32.6   1.4   1.3  39   3.1  -0.9    1.2   22  -22
OLFW1   RAWS        8742  6260  39   8.9   0.3   2.7  39   2.5  -0.9    1.3   11   11
DVLW4   RAWS        8743  7186  37  14.9   2.3   1.3  37   2.5  -0.9    1.6   12   -8
OZNC1   RAWS        8744  7285  39  20.6   5.1   2.0  39   2.5  -0.9    2.2    6   -6
PYRLK   MesoWest    8745  7565  35  14.2   0.3   2.0  35   3.5  -0.9    2.5   22   50
TSHER   MesoWest    8746  8758  31   7.2  -2.7   2.2  31   1.1  -0.9    1.3    0    0
CMP12   MesoWest    8747  8815  39  25.2   0.9   1.1  39   2.0  -0.9    1.9    6  -60
AP133   APRSWXNET   8748  8933  38  13.7   0.5   1.1  38   4.8   0.9    1.3   23   -1
AP513   APRSWXNET   8749  8971  38  30.4   4.4   2.1  38   4.0  -0.9    1.8   28   26
TKMPR   UrbaNet     8750 27163  37  22.7  -0.3   1.1  37   2.2  -0.9    1.7    7  -16
GLFPC   UrbaNet     8751 27629  36  25.6  -0.5   1.4  36   3.3  -0.9    2.3   17    1
IMBO    MesoWest    8752 27702  30  14.3   1.8   2.6  30   3.2  -0.9    1.8   13    6
DUNCA   AWS         8753 28246  39  21.3   1.5   1.5  39   1.6  -0.9    1.4    8  -28
BGSND   AWS         8754 28439  36  26.4   0.7   1.1  36   1.6  -0.9    1.3    3  -18
BUDDY   AWS         8755 30318  30  23.9   0.9   1.1  30   1.5  -0.9    1.2    5   67
C8607   APRSWXNET   8756 31224  39  11.8   0.7   1.2  39   1.4  -0.9    1.2    1   31
C8839   APRSWXNET   8757 32715  32  17.7  -0.4   1.4  32   0.9  -0.9    1.2    1   70
HNCDL   AWS         8758 26134  40  13.9   0.6   1.4  40   1.5  -0.9    1.3    2  -10
